NETWORKCODE,INTERNUMBERHEAD,COUNTRYCODE
79391,9379391,93
0,1,1
201,1201,1
202,1202,1
203,1203,1
204,1204,1
205,1205,1
206,1206,1
207,1207,1
208,1208,1
209,1209,1
210,1210,1
212,1212,1
213,1213,1
214,1214,1
215,1215,1
216,1216,1
217,1217,1
218,1218,1
219,1219,1
220,1220,1
223,1223,1
224,1224,1
225,1225,1
226,1226,1
227,1227,1
228,1228,1
229,1229,1
231,1231,1
234,1234,1
236,1236,1
239,1239,1
240,1240,1
242,1242,1
242357,1242357,1
242359,1242359,1
242375,1242375,1
242376,1242376,1
242395,1242395,1
242421,1242421,1
242422,1242422,1
242423,1242423,1
242424,1242424,1
242425,1242425,1
242426,1242426,1
242427,1242427,1
242428,1242428,1
242429,1242429,1
242431,1242431,1
242432,1242432,1
242433,1242433,1
242434,1242434,1
242435,1242435,1
242436,1242436,1
242437,1242437,1
242438,1242438,1
242439,1242439,1
242441,1242441,1
242442,1242442,1
242443,1242443,1
242445,1242445,1
242446,1242446,1
242447,1242447,1
242448,1242448,1
242449,1242449,1
242451,1242451,1
242452,1242452,1
242453,1242453,1
242454,1242454,1
242455,1242455,1
242456,1242456,1
242457,1242457,1
242458,1242458,1
242462,1242462,1
242463,1242463,1
242464,1242464,1
242465,1242465,1
242466,1242466,1
242467,1242467,1
242468,1242468,1
24247,124247,1
242481,1242481,1
242524,1242524,1
242525,1242525,1
242533,1242533,1
242535,1242535,1
242544,1242544,1
242551,1242551,1
242552,1242552,1
242553,1242553,1
242554,1242554,1
242556,1242556,1
242557,1242557,1
242558,1242558,1
242559,1242559,1
242565,1242565,1
242577,1242577,1
242636,1242636,1
242646,1242646,1
242727,1242727,1
242738,1242738,1
242801,1242801,1
242802,1242802,1
242803,1242803,1
242804,1242804,1
242805,1242805,1
242806,1242806,1
242807,1242807,1
242808,1242808,1
242809,1242809,1
242810,1242810,1
242812,1242812,1
242813,1242813,1
242814,1242814,1
242815,1242815,1
242816,1242816,1
242817,1242817,1
242818,1242818,1
242819,1242819,1
24282,124282,1
242899,1242899,1
246,1246,1
24623,124623,1
246240,1246240,1
