PROD_KEY,DURABLE_PROD_KEY,PRODUCT_CODE,PRODUCT_FAMILY,SUB_ACCT,PROD_TECHNICAL_NAME,COMMERCIAL_OFFER_NAME,OFFER_GROUP_NAME,PRODUCT_TYPE,PRODUCT_SUB_TYPE,BUNDLE_VALIDITY,ADDON_TYPE,TP_SHARE,PRINCIPLE_AGENT,DIGITAL_PRICE,PORTFOLIO,FILE_NAME,source
737,737,502235,CBS_PRODUCT,0,TIKTOK MTA VARIANT,DAILY TIKTOK - NWD - MTA,DAILY TIKTOK BUNDLE,GPRS,GPRS,1,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,CBS_PRODUCT_DESC_20230914_1.unl,42
5409,5409,502352,CBS_PRODUCT,0,EC 150 USSD MTA DISCOUNT,EC 150 USSD MTA DISCOUNT,EASY CARD 150,HYBRID,PURE HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,CBS_PRODUCT_DESC_20230914_1.unl,42
7218,7218,502557,CBS_PRODUCT,0,SUPREME PARTNERSHIP OFFER,SUPREME PARTNERSHIP OFFER,SUPREME PARTNERSHIP OFFER,CALL,CALL,1,FREE,1,PRINCIPLE,0,NOT APPLICABLE,CBS_PRODUCT_DESC_20230914_1.unl,42
7561,7561,502640,CBS_PRODUCT,0,WEEKLY EXTREME PLUS - NWD - RM,WEEKLY EXTREME PLUS - NWD - RM,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,1,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,CBS_PRODUCT_DESC_20230914_1.unl,42
7625,7625,502653,CBS_PRODUCT,0,MTA ACQUISITION OFFER 1.5GB NEW,MTA FREE 1.5GB 2DAYS-NEW,MTA FREE 1.5GB 2DAYS-NEW,GPRS,GPRS_0,2,FREE,1,PRINCIPLE,0,NOT APPLICABLE,CBS_PRODUCT_DESC_20230914_1.unl,42
8085,8085,502695,CBS_PRODUCT,0,WEEKLY EASY CARD - MW,WEEKLY EASY CARD - MW,WEEKLY EASY CARD,HYBRID,HEAVY VOICE HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,CBS_PRODUCT_DESC_20230914_1.unl,42
7435,7435,502608,CBS_PRODUCT,0,MONTHLY SAHULAT OFFER WHITELISTING DUMMY,MONTHLY SAHULAT OFFER WHITELISTING DUMMY,MONTHLY SAHULAT OFFER DUMMY,CALL,CALL,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,CBS_PRODUCT_DESC_20230914_1.unl,42
7667,7667,502671,CBS_PRODUCT,0,MONTHLY EXTREME  30 PERCENT DISCOUNTED MTA LOAD,MONTHLY EXTREME  30 PERCENT DISCOUNTED MTA LOAD,MONTHLY EXTREME,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,CBS_PRODUCT_DESC_20230914_1.unl,42
757,757,501820,CBS_PRODUCT,0,UNLIMITED INTERNET OFFER DISTRICT SPECIFIC,DAILY OFFPEAK - SELECT - USSD,DAILY OFF-PEAK,GPRS,GPRS_0,1,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,CBS_PRODUCT_DESC_20230914_1.unl,42
1010,1010,501826,CBS_PRODUCT,0,EASYCARD  600 STRING,EC 600 USSD,EASY CARD 600,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,CBS_PRODUCT_DESC_20230914_1.unl,42
