prod_key,durable_prod_key,product_code,product_family,sub_acct,prod_technical_name,commercial_offer_name,offer_group_name,product_type,product_sub_type,bundle_validity,addon_type,tp_share,principle_agent,digital_price,portfolio,start_date_time,end_date_time,created_date,last_updated_date,source,batch_id,dml_ins_batch,dml_upd_batch,file_name
8482,8482,PL_MONTHLY EXTREME PLUS_NWD_1250_10_150,REMARKS,0,PL_MONTHLY EXTREME PLUS_NWD_1250_10_150,MONTHLY EXTREME PLUS_PLDISC,MONTHLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8472,8472,PL_EASY CARD MEGA PLUS_NWD_320_10_90,REMARKS,0,PL_EASY CARD MEGA PLUS_NWD_320_10_90,EASY CARD MEGA PLUS_PLDISC,EASY CARD MEGA PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8391,8391,BUNDLEGIFT-WEEKLY SOCIAL PACK-90-7,REMARKS,0,BUNDLEGIFT-WEEKLY SOCIAL PACK-90-7,WEEKLY SOCIAL PACK - GIFT,WEEKLY SOCIAL PACK,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8249,8249,EASYCARD200_MTA_BAL_130_LOAD_150_WL,REMARKS,0,EASYCARD200_MTA_BAL_130_LOAD_150_WL,EC PLUS MTA WL,EASY CARD PLUS,HYBRID,PURE HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8491,8491,PL_EASY CARD 850_NWD_850_10_50,REMARKS,0,PL_EASY CARD 850_NWD_850_10_50,EASY CARD 850_PLDISC,EASY CARD 850,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8487,8487,PL_EASY CARD 750_NWD_750_10_50,REMARKS,0,PL_EASY CARD 750_NWD_750_10_50,EASY CARD 750_PLDISC,EASY CARD 750,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8327,8327,BUNDLEGIFT-6 TO 6 OFFER-62-1,REMARKS,0,BUNDLEGIFT-6 TO 6 OFFER-62-1,DAILY OFFPEAK - NWD - GIFT,DAILY OFF-PEAK,GPRS,GPRS_0,1,NOT APPLICABLE,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8323,8323,BUNDLEGIFT-ENTERTAINMENT OFFER-114-30,REMARKS,0,BUNDLEGIFT-ENTERTAINMENT OFFER-114-30,ENTERTAINMENT OFFER GIFT,TIKTOK BUNDLE,GPRS,GPRS,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8485,8485,PL_EASY CARD MEGA PLUS_URBAN_300_10_70,REMARKS,0,PL_EASY CARD MEGA PLUS_URBAN_300_10_70,EASY CARD MEGA PLUS_PLDISC,EASY CARD MEGA PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8300,8300,BUNDLEGIFT-WEEKLY ULTRA - 8GB-295-7,REMARKS,0,BUNDLEGIFT-WEEKLY ULTRA - 8GB-295-7,WEEKLY ULTRA GIFT,4G WEEKLY ULTRA,GPRS,GPRS,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
